card_id,client_id,card_brand,card_type,card_number,expires,cvv,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed
4524,825,VISA,DEBIT,4344676511950440,12/01/22,623,YES,2,24295,09/01/02,2008
2731,825,VISA,DEBIT,4956965974959980,12/01/20,393,YES,2,21968,04/01/14,2014
3701,825,VISA,DEBIT,4582313478255490,02/01/24,719,YES,2,46414,07/01/03,2004
42,825,VISA,CREDIT,4879494103069050,08/01/24,693,NO,1,12400,01/01/03,2012
4659,825,MASTERCARD,DEBIT (PREPAID),5722874738736010,03/01/09,75,YES,1,28,09/01/08,2009
4537,1746,VISA,CREDIT,4404898874682990,09/01/03,736,YES,1,27500,09/01/03,2012
1278,1746,VISA,DEBIT,4001482973848630,07/01/22,972,YES,2,28508,02/01/11,2011
3687,1746,MASTERCARD,DEBIT,5627220683410940,06/01/22,48,YES,2,9022,07/01/03,2015
3465,1746,MASTERCARD,DEBIT (PREPAID),5711382187309320,11/01/20,722,YES,2,54,06/01/10,2015
3754,1746,MASTERCARD,DEBIT (PREPAID),5766121508358700,02/01/23,908,YES,1,99,07/01/06,2012
5144,1718,MASTERCARD,DEBIT,5495199163052050,03/01/22,677,YES,2,31599,10/01/09,2009
2029,1718,MASTERCARD,DEBIT,5804499644308590,07/01/23,258,NO,2,27480,03/01/02,2008
2379,1718,MASTERCARD,DEBIT,5766352389579830,02/01/20,992,YES,1,26743,03/01/19,2019
2732,1718,VISA,DEBIT,4242015583697290,06/01/20,928,YES,1,31463,04/01/14,2014
4706,1718,MASTERCARD,DEBIT,5191030913182490,06/01/24,360,YES,1,16055,09/01/09,2009
281,708,VISA,CREDIT,4017261190134810,05/01/15,877,YES,2,98100,01/01/11,2011
1106,708,MASTERCARD,DEBIT (PREPAID),5581970288727990,06/01/20,448,YES,1,62,02/01/07,2007
5621,708,VISA,DEBIT,4032240655674500,06/01/22,53,YES,1,132439,11/01/10,2011
5165,708,VISA,DEBIT,4935974646456350,06/01/20,649,YES,1,125723,10/01/09,2010
5757,1164,MASTERCARD,DEBIT,5905027855347650,01/01/22,886,YES,1,34900,12/01/99,2012
27,68,VISA,CREDIT,4099623033306950,09/01/21,74,YES,2,9900,01/01/02,2019
4648,68,VISA,DEBIT,4281200324251210,07/01/13,865,YES,2,21587,09/01/07,2007
5435,68,VISA,CREDIT,4411456925570760,11/01/22,922,YES,2,15800,11/01/05,2011
3287,1075,MASTERCARD,DEBIT,5202477865497330,04/01/22,861,YES,1,29964,06/01/05,2014
4761,1075,MASTERCARD,CREDIT,5089768442116300,07/01/23,686,YES,2,11200,09/01/10,2010
5286,1075,MASTERCARD,DEBIT,5767339719294370,12/01/21,669,NO,2,26753,10/01/14,2014
744,1711,VISA,DEBIT,4595831603224640,05/01/23,689,NO,2,17480,01/01/20,2020
5559,1116,MASTERCARD,DEBIT,5341049613275150,09/01/21,396,YES,2,26546,11/01/09,2009
4905,1116,MASTERCARD,DEBIT,5668831527649350,01/01/21,356,YES,1,23253,09/01/17,2017
79,1116,VISA,CREDIT,4400056931148230,02/01/21,497,YES,1,16100,01/01/05,2014
301,1116,VISA,CREDIT,4808554251869440,02/01/21,921,YES,2,8700,01/01/12,2012
3115,1116,MASTERCARD,DEBIT,5224739362243610,01/01/19,922,YES,1,29333,05/01/12,2012
3880,1752,MASTERCARD,DEBIT,5294178176133530,07/01/24,265,YES,2,9496,07/01/09,2012
1766,192,VISA,DEBIT,4857799018106610,07/01/21,930,YES,1,25499,02/01/20,2020
1767,192,VISA,DEBIT,4324062360619920,02/01/20,358,YES,1,18641,02/01/20,2020
745,640,VISA,DEBIT,4852639114720720,05/01/23,995,YES,1,26019,01/01/20,2020
1459,1679,MASTERCARD,DEBIT,5656383455895230,01/01/21,547,YES,1,25845,02/01/20,2020
138,1094,VISA,DEBIT,4556928160477220,06/01/23,64,YES,2,2365,01/01/07,2009
3755,1094,MASTERCARD,DEBIT,5515782790823580,06/01/23,419,YES,2,18684,07/01/06,2017
1768,1094,VISA,CREDIT,4508388296516450,02/01/21,364,NO,2,7400,02/01/20,2020
5924,1590,MASTERCARD,DEBIT,5548265564669330,12/01/24,145,YES,2,4147,12/01/08,2016
6074,1660,VISA,DEBIT (PREPAID),4986270376099440,04/01/22,385,YES,1,76,12/01/12,2012
5923,1660,DISCOVER,CREDIT,6726060094896110,01/01/09,105,NO,1,4700,12/01/08,2014
4223,1660,VISA,CREDIT,4157109762296140,06/01/21,433,YES,2,5800,08/01/07,2011
4455,1660,MASTERCARD,DEBIT,5231462717450520,03/01/24,754,YES,2,12082,08/01/16,2016
3234,1660,MASTERCARD,CREDIT,5074836567307560,03/01/23,741,NO,2,6000,06/01/02,2010
1005,1660,VISA,DEBIT,4986369179342270,11/01/09,367,YES,1,620,02/01/02,2014
151,1747,MASTERCARD,DEBIT,5892013969159900,08/01/22,879,YES,1,14499,01/01/08,2008
4198,1747,MASTERCARD,DEBIT,5179157151686140,07/01/23,457,YES,2,12332,08/01/07,2009
4403,1747,MASTERCARD,DEBIT,5569640141329520,09/01/24,904,YES,1,18424,08/01/13,2013
4120,1747,VISA,CREDIT,4708914311449290,07/01/23,149,NO,1,15400,08/01/03,2008
4224,1747,VISA,DEBIT,4795724941278910,02/01/22,136,YES,2,14548,08/01/07,2013
4895,1747,MASTERCARD,CREDIT,5300159511214990,12/01/16,740,YES,2,10100,09/01/16,2016
1028,153,DISCOVER,CREDIT,6580244636542190,04/01/11,416,YES,1,11200,02/01/04,2008
5956,153,MASTERCARD,DEBIT,5032457975030960,10/01/24,240,YES,2,20291,12/01/09,2011
107,153,VISA,DEBIT,4382324870900900,08/01/18,852,YES,1,32092,01/01/06,2010
440,153,MASTERCARD,DEBIT,5456808094753900,02/01/20,217,YES,1,20463,01/01/20,2020
746,429,VISA,DEBIT,4465362453388900,08/01/22,738,YES,1,15802,01/01/20,2020
1769,429,VISA,DEBIT,4668447208616690,02/01/20,314,NO,2,4612,02/01/20,2020
421,429,DISCOVER,CREDIT,6377595394803320,07/01/20,675,YES,2,19900,01/01/20,2020
974,511,MASTERCARD,DEBIT (PREPAID),5117090980312400,10/01/20,42,YES,1,73,02/01/00,2012
4707,511,MASTERCARD,DEBIT,5377858405611170,01/01/24,24,YES,1,11858,09/01/09,2010
7,511,MASTERCARD,DEBIT,5585238056278280,03/01/05,749,YES,1,9664,01/01/98,2011
2212,511,MASTERCARD,DEBIT,5355281784290560,06/01/20,810,YES,1,8367,03/01/09,2009
1038,511,VISA,CREDIT,4150093118072730,06/01/22,135,YES,2,6100,02/01/04,2009
1460,309,MASTERCARD,DEBIT,5979295728871780,02/01/20,630,YES,3,9944,02/01/20,2020
747,309,VISA,CREDIT,4473643731469830,01/01/20,771,YES,1,7900,01/01/20,2020
1770,309,VISA,CREDIT,4800116569994470,12/01/20,201,YES,1,5600,02/01/20,2020
748,777,VISA,DEBIT,4832328468851060,08/01/23,580,YES,1,68400,01/01/20,2020
441,777,MASTERCARD,DEBIT,5278075482033390,04/01/23,437,YES,2,77237,01/01/20,2020
3679,1946,VISA,DEBIT,4869845530765330,08/01/24,701,YES,2,4488,07/01/02,2015
5701,1946,VISA,CREDIT,4231526239204030,02/01/20,499,YES,2,12500,11/01/14,2014
4510,1674,MASTERCARD,DEBIT,5813611925507600,12/01/20,734,YES,2,23432,09/01/01,2008
2873,1674,AMEX,CREDIT,366520954874839,05/01/22,447,YES,2,8800,05/01/05,2011
1461,482,MASTERCARD,CREDIT,5392697458480960,02/01/20,886,YES,2,12100,02/01/20,2020
442,877,MASTERCARD,DEBIT,5048151330736420,02/01/20,931,YES,1,9708,01/01/20,2020
3877,877,AMEX,CREDIT,371643368691556,11/01/21,683,YES,2,12000,07/01/09,2011
2296,877,MASTERCARD,DEBIT,5700734711260260,11/01/23,230,YES,1,11973,03/01/12,2012
5048,128,MASTERCARD,DEBIT,5389442391430670,02/01/22,658,YES,2,13601,10/01/06,2014
1462,128,MASTERCARD,CREDIT,5079116875907420,01/01/24,849,YES,2,7800,02/01/20,2020
4269,775,VISA,DEBIT,4390425683290560,10/01/23,790,YES,2,17816,08/01/08,2016
5188,1536,MASTERCARD,DEBIT,5217568630125700,03/01/21,625,NO,2,17707,10/01/10,2010
2874,1536,AMEX,CREDIT,397856635669220,11/01/20,2,YES,1,9500,05/01/05,2009
3041,140,MASTERCARD,DEBIT,5529182104663860,01/01/22,182,YES,1,19110,05/01/10,2011
5312,140,MASTERCARD,DEBIT,5489017664251280,08/01/23,196,YES,1,13428,10/01/16,2016
4150,140,MASTERCARD,DEBIT,5793675314684780,06/01/22,43,YES,1,24608,08/01/05,2009
152,140,MASTERCARD,DEBIT,5845373196638990,09/01/22,111,YES,1,13441,01/01/08,2011
443,1884,MASTERCARD,DEBIT (PREPAID),5750288075891800,02/01/20,788,YES,2,74,01/01/20,2020
3377,1874,MASTERCARD,DEBIT,5429789020188280,10/01/12,674,YES,1,17872,06/01/08,2008
5789,1874,MASTERCARD,CREDIT,5301114615829910,09/01/22,425,YES,1,12900,12/01/03,2010
2106,1874,MASTERCARD,DEBIT,5571104183564020,05/01/24,52,YES,2,25264,03/01/06,2020
2078,1874,MASTERCARD,DEBIT,5401948301255030,12/01/22,920,YES,2,20634,03/01/05,2007
5866,1310,VISA,CREDIT,4295364044956970,04/01/07,656,YES,2,12200,12/01/06,2010
173,1310,VISA,CREDIT,4737484014371340,02/01/10,221,YES,2,5500,01/01/08,2008
1771,1689,VISA,CREDIT,4509365132510760,03/01/20,281,NO,2,6600,02/01/20,2020
6132,1689,MASTERCARD,DEBIT,5068255294282300,11/01/20,890,YES,1,25815,12/01/17,2017
327,379,AMEX,CREDIT,354813103334804,06/01/21,527,YES,2,8400,01/01/14,2014
2019,379,MASTERCARD,DEBIT,5910929635230860,02/01/20,525,YES,1,21628,03/01/01,2008
3881,379,MASTERCARD,DEBIT,5400182448188960,10/01/21,412,YES,1,24232,07/01/09,2009
1166,34,MASTERCARD,DEBIT,5039048842448180,11/01/23,339,YES,2,10775,02/01/09,2010
3342,34,MASTERCARD,DEBIT (PREPAID),5672012369002300,02/01/20,598,YES,2,105,06/01/07,2013
5622,822,VISA,CREDIT,4336733185475860,01/01/21,221,NO,2,7100,11/01/10,2010
5424,822,MASTERCARD,DEBIT,5985582173054290,07/01/24,951,YES,1,29351,11/01/05,2007
2558,822,MASTERCARD,DEBIT,5281056728185170,03/01/20,835,YES,2,15125,04/01/08,2012
5385,822,MASTERCARD,CREDIT,5615660494634700,11/01/21,865,YES,2,8000,11/01/03,2008
5596,822,MASTERCARD,DEBIT (PREPAID),5314878099448740,05/01/11,994,YES,1,83,11/01/10,2010
3991,1499,AMEX,CREDIT,311095486859536,01/01/24,536,YES,2,23700,07/01/12,2012
6126,1780,VISA,CREDIT,4624747592911120,02/01/24,986,YES,2,700,12/01/16,2016
3756,1806,MASTERCARD,DEBIT,5595562388674400,07/01/24,594,YES,2,7488,07/01/06,2016
971,811,VISA,CREDIT,4171022488649330,01/01/02,225,NO,1,24900,02/01/99,2010
2079,811,MASTERCARD,DEBIT,5246337038556760,06/01/21,638,YES,2,30971,03/01/05,2020
387,811,AMEX,CREDIT,399966116933253,01/01/24,343,YES,1,24400,01/01/20,2020
444,811,MASTERCARD,DEBIT,5064137987234660,02/01/20,599,YES,2,53549,01/01/20,2020
5277,811,VISA,DEBIT,4905540969337030,09/01/18,573,YES,1,53036,10/01/13,2013
4358,811,MASTERCARD,DEBIT,5703849820939460,12/01/24,300,YES,1,35750,08/01/11,2011
2318,811,VISA,DEBIT,4055403312631050,07/01/21,902,YES,1,33375,03/01/13,2013
6019,1844,VISA,DEBIT (PREPAID),4587476056357150,07/01/23,858,YES,2,22,12/01/10,2010
4421,1844,DISCOVER,CREDIT,6521426249819190,11/01/20,608,YES,1,13100,08/01/14,2014
3702,1844,VISA,DEBIT,4199712815274630,10/01/24,440,YES,1,16516,07/01/03,2011
2854,1844,MASTERCARD,CREDIT,5172743861765170,07/01/16,906,YES,1,15700,05/01/04,2011
4114,1844,MASTERCARD,DEBIT,5214643602729090,05/01/24,474,YES,1,21058,08/01/03,2007
28,1852,VISA,DEBIT,4013876625955760,10/01/23,543,YES,2,36425,01/01/02,2004
6127,1852,VISA,DEBIT (PREPAID),4966050979388900,03/01/21,585,YES,2,91,12/01/16,2016
2477,1852,MASTERCARD,CREDIT,5247576622089390,09/01/21,379,YES,1,13400,04/01/05,2014
