id,client_id,card_brand,card_type,card_number,expires,cvv,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed,,
4524,825,Visa,Debit,4344676511950440,12/1/2022,623,YES,2,$24295,9/1/2002,2008,,
2731,825,Visa,Debit,4956965974959980,12/1/2020,393,YES,2,$21968,4/1/2014,2014,,
3701,825,Visa,Debit,4582313478255490,2/1/2024,719,YES,2,$46414,7/1/2003,2004,,
42,825,Visa,Credit,4879494103069050,8/1/2024,693,NO,1,$12400,1/1/2003,2012,,
4659,825,Mastercard,Debit (Prepaid),5722874738736010,3/1/2009,75,YES,1,$28,9/1/2008,2009,,
4537,1746,Visa,Credit,4404898874682990,9/1/2003,736,YES,1,$27500,9/1/2003,2012,,
1278,1746,Visa,Debit,4001482973848630,7/1/2022,972,YES,2,$28508,2/1/2011,2011,,
3687,1746,Mastercard,Debit,5627220683410940,6/1/2022,48,YES,2,$9022,7/1/2003,2015,,
3465,1746,Mastercard,Debit (Prepaid),5711382187309320,11/1/2020,722,YES,2,$54,6/1/2010,2015,,
3754,1746,Mastercard,Debit (Prepaid),5766121508358700,2/1/2023,908,YES,1,$99,7/1/2006,2012,,
5144,1718,Mastercard,Debit,5495199163052050,3/1/2022,677,YES,2,$31599,10/1/2009,2009,,
2029,1718,Mastercard,Debit,5804499644308590,7/1/2023,258,NO,2,$27480,3/1/2002,2008,,
2379,1718,Mastercard,Debit,5766352389579830,2/1/2020,992,YES,1,$26743,3/1/2019,2019,,
2732,1718,Visa,Debit,4242015583697290,6/1/2020,928,YES,1,$31463,4/1/2014,2014,,
4706,1718,Mastercard,Debit,5191030913182490,6/1/2024,360,YES,1,$16055,9/1/2009,2009,,
281,708,Visa,Credit,4017261190134810,5/1/2015,877,YES,2,$98100,1/1/2011,2011,,
1106,708,Mastercard,Debit (Prepaid),5581970288727990,6/1/2020,448,YES,1,$62,2/1/2007,2007,,
5621,708,Visa,Debit,4032240655674500,6/1/2022,53,YES,1,$132439,11/1/2010,2011,,
5165,708,Visa,Debit,4935974646456350,6/1/2020,649,YES,1,$125723,10/1/2009,2010,,
5757,1164,Mastercard,Debit,5905027855347650,1/1/2022,886,YES,1,$34900,12/1/1999,2012,,
27,68,Visa,Credit,4099623033306950,9/1/2021,74,YES,2,$9900,1/1/2002,2019,,
4648,68,Visa,Debit,4281200324251210,7/1/2013,865,YES,2,$21587,9/1/2007,2007,,
5435,68,Visa,Credit,4411456925570760,11/1/2022,922,YES,2,$15800,11/1/2005,2011,,
3287,1075,Mastercard,Debit,5202477865497330,4/1/2022,861,YES,1,$29964,6/1/2005,2014,,
4761,1075,Mastercard,Credit,5089768442116300,7/1/2023,686,YES,2,$11200,9/1/2010,2010,,
5286,1075,Mastercard,Debit,5767339719294370,12/1/2021,669,NO,2,$26753,10/1/2014,2014,,
744,1711,Visa,Debit,4595831603224640,5/1/2023,689,NO,2,$17480,1/1/2020,2020,,
5559,1116,Mastercard,Debit,5341049613275150,9/1/2021,396,YES,2,$26546,11/1/2009,2009,,
4905,1116,Mastercard,Debit,5668831527649350,1/1/2021,356,YES,1,$23253,9/1/2017,2017,,
79,1116,Visa,Credit,4400056931148230,2/1/2021,497,YES,1,$16100,1/1/2005,2014,,
301,1116,Visa,Credit,4808554251869440,2/1/2021,921,YES,2,$8700,1/1/2012,2012,,
3115,1116,Mastercard,Debit,5224739362243610,1/1/2019,922,YES,1,$29333,5/1/2012,2012,,
3880,1752,Mastercard,Debit,5294178176133530,7/1/2024,265,YES,2,$9496,7/1/2009,2012,,
1766,192,Visa,Debit,4857799018106610,7/1/2021,930,YES,1,$25499,2/1/2020,2020,,
1767,192,Visa,Debit,4324062360619920,2/1/2020,358,YES,1,$18641,2/1/2020,2020,,
745,640,Visa,Debit,4852639114720720,5/1/2023,995,YES,1,$26019,1/1/2020,2020,,
1459,1679,Mastercard,Debit,5656383455895230,1/1/2021,547,YES,1,$25845,2/1/2020,2020,,
138,1094,Visa,Debit,4556928160477220,6/1/2023,64,YES,2,$2365,1/1/2007,2009,,
3755,1094,Mastercard,Debit,5515782790823580,6/1/2023,419,YES,2,$18684,7/1/2006,2017,,
1768,1094,Visa,Credit,4508388296516450,2/1/2021,364,NO,2,$7400,2/1/2020,2020,,
5924,1590,Mastercard,Debit,5548265564669330,12/1/2024,145,YES,2,$4147,12/1/2008,2016,,
6074,1660,Visa,Debit (Prepaid),4986270376099440,4/1/2022,385,YES,1,$76,12/1/2012,2012,,
5923,1660,Discover,Credit,6726060094896110,1/1/2009,105,NO,1,$4700,12/1/2008,2014,,
4223,1660,Visa,Credit,4157109762296140,6/1/2021,433,YES,2,$5800,8/1/2007,2011,,
